Wiek;Płeć;5 km Czas;Czas
46.0;M;1196.0;5266.0
32.0;M;1127.0;5267.0
28.0;M;1225.0;5268.0
43.0;M;1155.0;5269.0
42.0;M;1153.0;5270.0
39.0;M;1212.0;5270.0
37.0;M;1172.0;5272.0
28.0;M;1195.0;5273.0
33.0;M;1239.0;5273.0
46.0;M;1194.0;5274.0
26.0;M;1231.0;5279.0
41.0;M;1165.0;5283.0
35.0;M;1240.0;5285.0
46.0;M;1239.0;5286.0
44.0;M;1237.0;5288.0
41.0;M;;5289.0
46.0;M;1236.0;5289.0
33.0;M;1253.0;5290.0
49.0;M;1212.0;5291.0
34.0;M;1229.0;5292.0
36.0;M;1261.0;5292.0
33.0;M;1233.0;5294.0
37.0;M;1243.0;5295.0
41.0;M;1214.0;5298.0
33.0;M;1236.0;5298.0
30.0;M;1232.0;5299.0
34.0;M;1233.0;5301.0
49.0;M;1226.0;5301.0
31.0;M;1255.0;5303.0
45.0;M;1240.0;5305.0
23.0;M;1217.0;5305.0
37.0;M;1218.0;5306.0
32.0;M;1246.0;5307.0
45.0;M;1229.0;5308.0
40.0;M;1242.0;5310.0
44.0;M;1239.0;5313.0
43.0;M;1125.0;5315.0
50.0;M;;5316.0
40.0;M;1273.0;5318.0
44.0;M;1205.0;5320.0
34.0;M;1213.0;5320.0
34.0;M;1236.0;5321.0
44.0;M;1250.0;5322.0
42.0;M;1245.0;5322.0
42.0;M;1267.0;5326.0
49.0;M;1239.0;5327.0
32.0;M;1187.0;5327.0
34.0;M;1246.0;5328.0
42.0;M;1208.0;5329.0
31.0;M;1256.0;5334.0
46.0;M;1234.0;5336.0
42.0;M;1243.0;5336.0
44.0;M;1191.0;5336.0
51.0;M;1237.0;5341.0
53.0;M;1230.0;5342.0
22.0;M;1234.0;5343.0
30.0;M;1243.0;5345.0
42.0;M;1224.0;5348.0
46.0;M;1233.0;5349.0
40.0;M;;5350.0
41.0;M;1223.0;5351.0
35.0;M;1236.0;5351.0
46.0;M;1242.0;5352.0
37.0;M;1140.0;5352.0
19.0;M;1238.0;5354.0
29.0;M;;5355.0
24.0;M;1226.0;5357.0
24.0;M;1297.0;5358.0
35.0;M;1256.0;5358.0
41.0;M;1280.0;5359.0
41.0;M;1228.0;5359.0
34.0;M;1233.0;5360.0
30.0;M;1289.0;5361.0
50.0;M;1256.0;5362.0
38.0;M;1250.0;5362.0
50.0;M;1221.0;5363.0
56.0;M;1241.0;5364.0
46.0;M;1220.0;5364.0
39.0;M;1221.0;5365.0
40.0;M;1230.0;5366.0
29.0;M;1239.0;5366.0
37.0;M;1248.0;5368.0
52.0;M;1245.0;5368.0
41.0;M;1270.0;5370.0
39.0;M;1228.0;5375.0
26.0;M;1231.0;5375.0
48.0;M;1251.0;5376.0
55.0;M;1228.0;5376.0
36.0;M;1223.0;5377.0
41.0;M;1197.0;5377.0
36.0;M;1234.0;5378.0
38.0;M;1250.0;5379.0
53.0;M;1260.0;5380.0
21.0;M;1230.0;5380.0
